model,prompt_type,prompt_index,split,Category,TP,FP,FN,P,R,F0.5
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:ADJ,3,20,32,0.1304,0.0857,0.1181
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:ADJ:FORM,4,1,5,0.8,0.4444,0.6897
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:ADV,2,18,25,0.1,0.0741,0.0935
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:CONJ,1,9,3,0.1,0.25,0.1136
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:CONTR,2,36,6,0.0526,0.25,0.0625
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:DET,23,62,54,0.2706,0.2987,0.2758
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:MORPH,35,70,36,0.3333,0.493,0.3564
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:NOUN,35,111,93,0.2397,0.2734,0.2458
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:NOUN:INFL,17,3,1,0.85,0.9444,0.8673
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:NOUN:NUM,70,34,66,0.6731,0.5147,0.6341
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:NOUN:POSS,0,2,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:ORTH,60,212,42,0.2206,0.5882,0.2521
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:OTHER,95,334,299,0.2214,0.2411,0.2251
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:PART,5,2,6,0.7143,0.4545,0.641
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:PREP,75,69,141,0.5208,0.3472,0.4735
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:PRON,9,40,34,0.1837,0.2093,0.1883
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:PUNCT,30,44,85,0.4054,0.2609,0.365
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:SPELL,307,77,46,0.7995,0.8697,0.8126
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:VERB,23,75,154,0.2347,0.1299,0.2021
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:VERB:FORM,54,37,30,0.5934,0.6429,0.6027
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:VERB:INFL,5,1,0,0.8333,1.0,0.8621
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:VERB:SVA,36,22,10,0.6207,0.7826,0.6475
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:VERB:TENSE,50,51,86,0.495,0.3676,0.463
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,R:WO,27,40,33,0.403,0.45,0.4116
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:ADJ,2,5,9,0.2857,0.1818,0.2564
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:ADV,7,31,24,0.1842,0.2258,0.1913
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:CONJ,2,12,1,0.1429,0.6667,0.1695
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:CONTR,4,3,1,0.5714,0.8,0.6061
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:DET,42,46,49,0.4773,0.4615,0.474
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:NOUN,5,11,21,0.3125,0.1923,0.2778
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:NOUN:POSS,3,1,2,0.75,0.6,0.7143
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:OTHER,15,85,39,0.15,0.2778,0.1652
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:PART,1,1,2,0.5,0.3333,0.4545
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:PREP,16,27,30,0.3721,0.3478,0.367
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:PRON,6,27,12,0.1818,0.3333,0.2
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:PUNCT,25,65,20,0.2778,0.5556,0.3086
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:VERB,5,17,19,0.2273,0.2083,0.2232
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:VERB:FORM,1,3,1,0.25,0.5,0.2778
tiiuae/falcon-40b-instruct,1-shot,3,fce-dev,U:VERB:TENSE,13,14,9,0.4815,0.5909,0.5
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:ADJ,2,5,8,0.2857,0.2,0.2632
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:ADV,5,12,22,0.2941,0.1852,0.2632
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:CONJ,3,22,13,0.12,0.1875,0.1293
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:CONTR,0,3,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:DET,87,46,127,0.6541,0.4065,0.5831
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:NOUN,3,23,22,0.1154,0.12,0.1163
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:NOUN:POSS,2,3,5,0.4,0.2857,0.3704
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:OTHER,9,83,75,0.0978,0.1071,0.0996
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:PART,2,2,4,0.5,0.3333,0.4545
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:PREP,44,43,46,0.5057,0.4889,0.5023
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:PRON,29,25,42,0.537,0.4085,0.5052
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:PUNCT,75,340,110,0.1807,0.4054,0.2033
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:VERB,27,18,23,0.6,0.54,0.587
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:VERB:FORM,4,6,6,0.4,0.4,0.4
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,M:VERB:TENSE,13,15,32,0.4643,0.2889,0.414
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:ADJ,3,22,32,0.12,0.0857,0.1111
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:ADJ:FORM,4,1,5,0.8,0.4444,0.6897
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:ADV,2,12,25,0.1429,0.0741,0.1205
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:CONJ,1,7,3,0.125,0.25,0.1389
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:CONTR,1,50,7,0.0196,0.125,0.0236
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:DET,23,58,54,0.284,0.2987,0.2868
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:MORPH,37,78,34,0.3217,0.5211,0.3484
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:NOUN,34,113,94,0.2313,0.2656,0.2374
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:NOUN:INFL,17,3,1,0.85,0.9444,0.8673
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:NOUN:NUM,72,42,64,0.6316,0.5294,0.6081
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:NOUN:POSS,0,1,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:ORTH,59,231,43,0.2034,0.5784,0.2338
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:OTHER,92,310,302,0.2289,0.2335,0.2298
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:PART,5,3,6,0.625,0.4545,0.5814
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:PREP,70,74,146,0.4861,0.3241,0.4419
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:PRON,10,40,33,0.2,0.2326,0.2058
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:PUNCT,27,40,88,0.403,0.2348,0.3525
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:SPELL,311,78,42,0.7995,0.881,0.8146
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:VERB,21,80,156,0.2079,0.1186,0.1807
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:VERB:FORM,50,37,34,0.5747,0.5952,0.5787
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:VERB:INFL,4,1,1,0.8,0.8,0.8
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:VERB:SVA,35,19,11,0.6481,0.7609,0.6679
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:VERB:TENSE,47,56,89,0.4563,0.3456,0.4288
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,R:WO,25,38,35,0.3968,0.4167,0.4006
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:ADJ,2,5,9,0.2857,0.1818,0.2564
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:ADV,7,32,24,0.1795,0.2258,0.1872
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:CONJ,1,8,2,0.1111,0.3333,0.1282
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:CONTR,5,10,0,0.3333,1.0,0.3846
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:DET,39,43,52,0.4756,0.4286,0.4654
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:NOUN,5,15,21,0.25,0.1923,0.2358
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:NOUN:POSS,3,0,2,1.0,0.6,0.8824
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:OTHER,12,60,42,0.1667,0.2222,0.1754
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:PART,0,2,3,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:PREP,15,22,31,0.4054,0.3261,0.3866
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:PRON,7,27,11,0.2059,0.3889,0.2273
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:PUNCT,27,57,18,0.3214,0.6,0.3543
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:VERB,5,14,19,0.2632,0.2083,0.25
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:VERB:FORM,1,5,1,0.1667,0.5,0.1923
tiiuae/falcon-40b-instruct,2-shot,1,fce-dev,U:VERB:TENSE,11,22,11,0.3333,0.5,0.3571
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:ADJ,3,3,7,0.5,0.3,0.4412
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:ADV,3,7,24,0.3,0.1111,0.2239
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:CONJ,2,14,14,0.125,0.125,0.125
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:CONTR,0,2,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:DET,91,37,123,0.7109,0.4252,0.6267
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:NOUN,2,25,23,0.0741,0.08,0.0752
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:NOUN:POSS,2,2,5,0.5,0.2857,0.4348
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:OTHER,9,50,75,0.1525,0.1071,0.1406
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:PART,2,1,4,0.6667,0.3333,0.5556
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:PREP,40,31,50,0.5634,0.4444,0.5348
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:PRON,26,21,45,0.5532,0.3662,0.5019
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:PUNCT,61,231,124,0.2089,0.3297,0.2254
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:VERB,25,13,25,0.6579,0.5,0.6188
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:VERB:FORM,4,4,6,0.5,0.4,0.4762
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,M:VERB:TENSE,14,11,31,0.56,0.3111,0.4828
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:ADJ,2,14,33,0.125,0.0571,0.101
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:ADJ:FORM,4,1,5,0.8,0.4444,0.6897
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:ADV,1,7,26,0.125,0.037,0.0847
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:CONJ,1,6,3,0.1429,0.25,0.1562
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:CONTR,2,37,6,0.0513,0.25,0.061
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:DET,20,46,57,0.303,0.2597,0.2933
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:MORPH,36,70,35,0.3396,0.507,0.3636
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:NOUN,31,85,97,0.2672,0.2422,0.2618
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:NOUN:INFL,16,3,2,0.8421,0.8889,0.8511
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:NOUN:NUM,64,39,72,0.6214,0.4706,0.5839
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:NOUN:POSS,0,2,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:ORTH,57,173,45,0.2478,0.5588,0.2789
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:OTHER,86,174,308,0.3308,0.2183,0.2999
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:PART,5,2,6,0.7143,0.4545,0.641
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:PREP,61,48,155,0.5596,0.2824,0.4678
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:PRON,9,33,34,0.2143,0.2093,0.2133
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:PUNCT,26,33,89,0.4407,0.2261,0.3704
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:SPELL,311,76,42,0.8036,0.881,0.818
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:VERB,21,42,156,0.3333,0.1186,0.2448
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:VERB:FORM,49,33,35,0.5976,0.5833,0.5947
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:VERB:INFL,5,1,0,0.8333,1.0,0.8621
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:VERB:SVA,36,18,10,0.6667,0.7826,0.687
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:VERB:TENSE,46,41,90,0.5287,0.3382,0.4752
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,R:WO,25,34,35,0.4237,0.4167,0.4223
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:ADJ,2,2,9,0.5,0.1818,0.3704
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:ADV,7,25,24,0.2188,0.2258,0.2201
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:CONJ,1,5,2,0.1667,0.3333,0.1852
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:CONTR,5,9,0,0.3571,1.0,0.4098
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:DET,29,25,62,0.537,0.3187,0.4723
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:NOUN,4,9,22,0.3077,0.1538,0.2564
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:NOUN:POSS,3,0,2,1.0,0.6,0.8824
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:OTHER,14,42,40,0.25,0.2593,0.2518
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:PART,0,2,3,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:PREP,15,17,31,0.4688,0.3261,0.431
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:PRON,5,23,13,0.1786,0.2778,0.1923
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:PUNCT,26,44,19,0.3714,0.5778,0.4
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:VERB,3,10,21,0.2308,0.125,0.1974
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:VERB:FORM,1,4,1,0.2,0.5,0.2273
tiiuae/falcon-40b-instruct,2-shot,2,fce-dev,U:VERB:TENSE,13,17,9,0.4333,0.5909,0.4577
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:ADJ,3,5,7,0.375,0.3,0.3571
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:ADV,5,18,22,0.2174,0.1852,0.2101
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:CONJ,3,23,13,0.1154,0.1875,0.125
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:CONTR,0,2,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:DET,88,46,126,0.6567,0.4112,0.5867
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:NOUN,5,27,20,0.1562,0.2,0.1634
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:NOUN:POSS,2,3,5,0.4,0.2857,0.3704
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:OTHER,11,82,73,0.1183,0.131,0.1206
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:PART,2,1,4,0.6667,0.3333,0.5556
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:PREP,44,46,46,0.4889,0.4889,0.4889
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:PRON,30,29,41,0.5085,0.4225,0.4886
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:PUNCT,69,329,116,0.1734,0.373,0.1941
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:VERB,28,20,22,0.5833,0.56,0.5785
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:VERB:FORM,4,3,6,0.5714,0.4,0.5263
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,M:VERB:TENSE,14,15,31,0.4828,0.3111,0.4348
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:ADJ,3,17,32,0.15,0.0857,0.1304
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:ADJ:FORM,4,1,5,0.8,0.4444,0.6897
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:ADV,6,51,21,0.1053,0.2222,0.1176
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:CONJ,1,7,3,0.125,0.25,0.1389
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:CONTR,2,57,6,0.0339,0.25,0.041
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:DET,22,55,55,0.2857,0.2857,0.2857
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:MORPH,37,75,34,0.3304,0.5211,0.3565
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:NOUN,35,102,93,0.2555,0.2734,0.2589
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:NOUN:INFL,17,3,1,0.85,0.9444,0.8673
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:NOUN:NUM,69,37,67,0.6509,0.5074,0.6161
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:NOUN:POSS,0,2,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:ORTH,58,235,44,0.198,0.5686,0.2276
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:OTHER,92,272,302,0.2527,0.2335,0.2486
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:PART,5,3,6,0.625,0.4545,0.5814
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:PREP,68,67,148,0.5037,0.3148,0.4497
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:PRON,9,45,34,0.1667,0.2093,0.1737
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:PUNCT,30,44,85,0.4054,0.2609,0.365
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:SPELL,308,82,45,0.7897,0.8725,0.805
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:VERB,26,73,151,0.2626,0.1469,0.2269
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:VERB:FORM,52,42,32,0.5532,0.619,0.5652
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:VERB:INFL,3,1,2,0.75,0.6,0.7143
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:VERB:SVA,37,23,9,0.6167,0.8043,0.6469
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:VERB:TENSE,53,59,83,0.4732,0.3897,0.4538
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,R:WO,27,36,33,0.4286,0.45,0.4327
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:ADJ,2,7,9,0.2222,0.1818,0.2128
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:ADV,8,33,23,0.1951,0.2581,0.2051
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:CONJ,1,7,2,0.125,0.3333,0.1429
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:CONTR,5,9,0,0.3571,1.0,0.4098
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:DET,39,50,52,0.4382,0.4286,0.4362
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:NOUN,4,16,22,0.2,0.1538,0.1887
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:NOUN:POSS,3,1,2,0.75,0.6,0.7143
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:OTHER,16,75,38,0.1758,0.2963,0.1914
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:PART,0,2,3,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:PREP,18,25,28,0.4186,0.3913,0.4128
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:PRON,6,30,12,0.1667,0.3333,0.1852
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:PUNCT,25,55,20,0.3125,0.5556,0.3425
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:VERB,6,19,18,0.24,0.25,0.2419
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:VERB:FORM,1,4,1,0.2,0.5,0.2273
tiiuae/falcon-40b-instruct,2-shot,3,fce-dev,U:VERB:TENSE,12,21,10,0.3636,0.5455,0.3896
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:ADJ,3,6,7,0.3333,0.3,0.3261
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:ADV,4,17,23,0.1905,0.1481,0.1802
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:CONJ,3,25,13,0.1071,0.1875,0.1172
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:CONTR,0,2,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:DET,92,54,122,0.6301,0.4299,0.5764
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:NOUN,4,23,21,0.1481,0.16,0.1504
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:NOUN:POSS,2,3,5,0.4,0.2857,0.3704
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:OTHER,11,94,73,0.1048,0.131,0.1091
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:PART,2,1,4,0.6667,0.3333,0.5556
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:PREP,44,52,46,0.4583,0.4889,0.4641
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:PRON,30,31,41,0.4918,0.4225,0.4762
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:PUNCT,82,437,103,0.158,0.4432,0.1813
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:VERB,27,22,23,0.551,0.54,0.5488
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:VERB:FORM,4,6,6,0.4,0.4,0.4
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,M:VERB:TENSE,15,16,30,0.4839,0.3333,0.4438
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:ADJ,3,27,32,0.1,0.0857,0.0968
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:ADJ:FORM,3,1,6,0.75,0.3333,0.6
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:ADV,3,14,24,0.1765,0.1111,0.1579
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:CONJ,1,7,3,0.125,0.25,0.1389
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:CONTR,2,68,6,0.0286,0.25,0.0347
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:DET,24,64,53,0.2727,0.3117,0.2797
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:MORPH,37,81,34,0.3136,0.5211,0.3407
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:NOUN,35,114,93,0.2349,0.2734,0.2417
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:NOUN:INFL,17,3,1,0.85,0.9444,0.8673
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:NOUN:NUM,76,48,60,0.6129,0.5588,0.6013
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:NOUN:POSS,0,1,1,0.0,0.0,0.0
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:ORTH,60,228,42,0.2083,0.5882,0.2392
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:OTHER,98,354,296,0.2168,0.2487,0.2225
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:PART,4,3,7,0.5714,0.3636,0.5128
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:PREP,75,79,141,0.487,0.3472,0.4507
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:PRON,10,46,33,0.1786,0.2326,0.1873
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:PUNCT,33,44,82,0.4286,0.287,0.3901
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:SPELL,309,77,44,0.8005,0.8754,0.8144
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:VERB,29,88,148,0.2479,0.1638,0.2248
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:VERB:FORM,49,48,35,0.5052,0.5833,0.5191
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:VERB:INFL,5,1,0,0.8333,1.0,0.8621
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:VERB:SVA,35,25,11,0.5833,0.7609,0.6119
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:VERB:TENSE,51,60,85,0.4595,0.375,0.4397
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,R:WO,28,42,32,0.4,0.4667,0.4118
tiiuae/falcon-40b-instruct,3-shot,1,fce-dev,U:ADJ,2,4,9,0.3333,0.1818,0.2857
